, Tweet,TweetClean_NonPT,TweetClean_PT
57,@IndosatCare min kok ane gk bisa daftarin paket yellow ya padahal pulsa dan masa tenggap masih ada tolong ini bagaimana?pic.twitter.com/0msoRVn4Ip,min daftarin ya pulsa,min daftarin ya pulsa
58,"@IndosatCare mohon bantuanya, kemarin tgl 27 januari saya isi pulsa 100rb dan registerasi pkt unlimited yg 70rb, namun hari ini ada notifikasi pulsa saya habis dan saya cek di myim3 kuota saya jadi 0, ada apa ini? Bisa dibantu?pic.twitter.com/Pafy9iJzOk",mohon bantuanya kemarin tgl januari isi pulsa rb registerasi rb notifikasi pulsa cek kuota,mohon bantuanya kemarin tgl januari isi pulsa rb registerasi rb notifikasi pulsa cek kuota
59,@Indosatcare min kok akhir2 ini sinyal indosat lemot banget ya. padahal waktu awal pemakaian cepet bgt. hadeuh,min sinyal banget ya cepet banget,min sinyal banget ya cepet banget
60,"Nomernya ini,saya pake kartu paket internet yang sekali pakaipic.twitter.com/LHEmbwIBaj",kartu paket internet kali,kartu paket internet kali
61,"@IndosatCare Mau kayak gini terus? Mau sampe kapan sinyal ancur terus, jangan bikin orang nyesel pake indosat. Dari kemaren komplain kaga di tanggepin terus.pic.twitter.com/kPrrR7jIGO",gini sinyal hancur manusia nyesel kemaren,gini sinyal hancur manusia nyesel kemaren
62,"@IndosatCare saya sudah perpanjang Freedomcombo M saya mau daftar Spotify premium, saya sudah ikuti langkahnya, saya tdk dapat sms login, dan saya login dengan akun yg saya buat, masih free. Tidak premium. Mohon di bantupic.twitter.com/p77RgWurIL",perpanjang premium,perpanjang premium
63,"@IndosatCare ini kenapa lagi ya im3 lemot lagi belum ada sebulan lemot lagi jaringannya, padahal 4g hadehh^^^^^",lemot sebulan,lemot sebulan
64,@IndosatCare Min lelet bgt nih,min,min
65,@IndosatCare kalo terus2an kyak gini bisa beralih ke provider lain nih dari kemarin sampai skrg sinyal masih blm stabil,kyak kah provider nih kemarin sinyal,kyak kah provider nih kemarin sinyal
66,Cari aja di DM. Saya sudah ga mood. Tuh internet speed the so called LTE kayak gitu. Bikin malespic.twitter.com/dENkJBA0n1,,
67,"@IndosatCare
Mau upgrade Sim card ke 4g bisa lwt nomer 185/ cs gak?",cs,cs
68,"@IndosatCare pulsa saya segitu, mau beli paket freedom plus Rp. 40.000, kok ga bisa yah ??? Dikirim sms ""pulsa anda tdk cukup/dalam masa tenggang"" ???
Indosat lagi error atau lagi ga bs berhitung ???pic.twitter.com/9xeizRX44M",pulsa paket freedom yah sms pulsa tenggang error,pulsa paket freedom yah sms pulsa tenggang error
69,@IndosatCare no hp saya kenapa gak bisa dipakai telpon keluar ya? Selalu alasan pulsa ga ada. Skrg sms pun gak bisa padahal pulsa saya masih banyak. Saya cb daftar ulang tp udh teregister,no hp telpon ya alas pulsa sms pulsa cb daftar teregister,no hp telpon ya alas pulsa sms pulsa cb daftar teregister
70,"@IndosatCare min, pulsa saya 9000 barusan tinggal 7900 gara2 dapet sms ini. Tolong ya min, saya kok sering kedaftar konten2 gini padahal saya ga daftar sama sekali. Udah saya cek ke *123*44# jg tp blm ada balasan. Trims.pic.twitter.com/6427Qdrbek",min pulsa barusan gara-gara dapet sms ya min gini daftar kali cek kah,min pulsa barusan gara-gara dapet sms ya min gini daftar kali cek kah
71,"@IndosatCare halo kak, mau tanya. saya kok mau masuk aplikasi gak bisa ya padahal nomor dan passwordnya sudah benar. katanya 'Mohon periksa kembali'. saya mau perpanjang paket jadi gak bisa malah pulsa saya yang terpotong terima kasihpic.twitter.com/InL4CJNn5l",halo kak aplikasi ya nomor perpanjang paket pulsa,halo kak aplikasi ya nomor perpanjang paket pulsa
72,Iyaa nomerku itu 604,iyaa nomerku,iyaa nomerku
73,"@IndosatCare cek dm. Pulsa saya baru diisi 100rb kemarin,hari ini sisa 1 rupiah, gak ada notifikasi pemakaian per kb. Padahal kuota utama saya masih ada 150mb. Kembalikan pulsa saya!pic.twitter.com/gW9Xk9Bnz2",cek dm pulsa diisi rb kemarin sisa rupiah notifikasi kb kuota mb pulsa,cek dm pulsa diisi rb kemarin sisa rupiah notifikasi kb kuota mb pulsa
74,"@IndosatCare saya baru isi pulsa saya untuk perpanjangan paket, saya kira pket akan otomatis perpanjng jika pulsa memadai, lalu sy tdk terima notif bahwa paket saya berakhir tapi malah lngsung kesedot sejumlah itu 45600?! Bahkan saya baru menyalakan data internet di hp saya.pic.twitter.com/QEKpgCEGMP",isi pulsa paket paket pulsa notif paket lngsung salak data internet,isi pulsa paket paket pulsa notif paket lngsung salak data internet
75,"@IndosatCare min,ini penyelesaian masalah jaringan 4G nya gimana?uda 3 hari lelet..saya juga sudah dm tp g ada respon",min jaring lelet dm respon,min jaring lelet dm respon
76,"Emang terdepan. Udah bales sekali, balesnya lagi taun depan. Butuh urgent juga pada bodo amatpic.twitter.com/IZZmomSq2Y",bales kali,bales kali
77,"@IndosatCare masih lemot juga sampai hari ini, saya pilih jaringan 4G tp dapetnya H kadang malah E bikin kesel. Semua yg pakai indosat di lingkungan rumah saya juga merasakan hal yg sama pic.twitter.com/d9idYS8It8",jaring kesel lingkung rumah,jaring kesel lingkung rumah
78,"@IndosatCare halo sy mau nanya ini di menu *123# paket xxl ada kuota 3G sebesar 12gb, tapi knp pas sdh dibeli trus dicek ulang via sms tidak tercantum kuota 3G 12gb?pic.twitter.com/vDpurAAkia",halo paket xxl kuota gb dicek sms cantum kuota,halo paket xxl kuota gb dicek sms cantum kuota
79,"@IndosatCare udah pake paket internet + paket nelpon + paket sms, masih aja kepotong nih pulsa dr 28500 jd 21100 pic.twitter.com/TsqhsjbWz1",nih pulsa dokter,nih pulsa dokter
80,"@IndosatCare setiap login begini terus, ada solusi? Internet pakai wifi rumah alhamdulillah stabil tidak ada masalah. Tp setiap login seperti ini. Saya hny ingin liat status paket saya termasuk pembayarannya. Trimspic.twitter.com/7huIuxtMqq",login solusi internet wifi rumah alhamdulillah status paket,login solusi internet wifi rumah alhamdulillah status paket
81,"@IndosatCare tidak ada pemberitahuan bahwa paket internet saya habis, seketika pulsa 40ribu lebih lenyap seketikapic.twitter.com/6QgYmkFhOO",paket internet pulsa lenyap,paket internet pulsa lenyap
82,"Sudah bosan saya on off kan hp nya, dan lokasinya benar masih di ujung harapan-Grand Pondok Ungu dan masalah akses nya ke semua aplikasi yang ada huhunganya sama internet dan nomor indosat lain saya coba tanya dan cek tidak ada masalah",bosan ungu akses nya kah aplikasi huhunganya internet nomor cek,bosan ungu akses nya kah aplikasi huhunganya internet nomor cek
83,@IndosatCare Mohon dibantu perkuat sinyal internet (3G/4G)  wilayah PT YCH Indonesia (JL Raya Kalimalang KM 2 Cibitung Bekasi) karna saya pengguna indosat sudah ganti kartu 4G namun hanya diwilayah sini aja sinyal internet jelek atau bahkan tidak ada.Thanks :),sinyal internet wilayah indonesia jl raya kalimalang bekasi karna ganti kartu diwilayah sinyal internet jelek ada.thanks,sinyal internet wilayah indonesia jl raya kalimalang bekasi karna ganti kartu diwilayah sinyal internet jelek ada.thanks
84,"Kok promonya berubah, ada kuota mlm segala, saya nyarinya yg full pemakaian 40gb seperti sebelumnya.. Saya kecewa ini sama indosat, gak ada istimewa istimewanya pelanggan lamapic.twitter.com/goEli3NCZR",kuota malam gb kecewa istimewa istimewanya langgan,kuota malam gb kecewa istimewa istimewanya langgan
85,@IndosatCare ini gimana ya? Saya gak pernah berlangganan apa2. Kartu dlm masa tenggang kok bisa2nya berlangganan.pic.twitter.com/HiaWbHzIiH,ya langgan kartu tenggang,ya langgan kartu tenggang
86,Dear Indosat mohon dicek DM sy.knp paket im3 yellow sering bermasalah?pulsa tiba2 hilang/habis sendiri jd Rp.0 pdhl kuota internet msh ada dan internet off/mati,pulsa kuota internet internet off,pulsa kuota internet internet off
87,"@IndosatCare 

Dari kemarin sudah kirim XD1 ke 929 untuk pembelian extra kuota. Tapi sampai sekarang belum aktif. Tidak ada notifikasi lagi. Bisa tolong diaktifkan?",kemarin kah extra kuota notifikasi,kemarin kah extra kuota notifikasi
88,"@IndosatCare saya tadi sore sudah membayar tagihan PPN saya sebesar Rp 61.500 atas kartu pasca bayar,tapi kenapa masih dalam pemblokiran dengan nomor 081511237590,kata CS indosat aktifnya tidak lama. Mohon segera ditangani karna merugikan konsumen ini namanya.",sore ppn rp kartu pemblokiran nomor cs karna konsumen,sore ppn rp kartu pemblokiran nomor cs karna konsumen
89,Mana? Dr kemarin minta dm nomor dan alasan sama lokasi. Giliran di dm ga bales lagi. Ini sinyalnya 4G loh tapi gini. Kecewa bgt sayapic.twitter.com/lxZXciDyw6,dokter kemarin dm nomor alas lokasi gilir dm bales gini kecewa banget,dokter kemarin dm nomor alas lokasi gilir dm bales gini kecewa banget
90,"@IndosatCare min ini saya aktifasi dari tadi belum bisa , padahal udah sesuai sama instruksi suruh pake data 3g, mohon ditindaklanjutipic.twitter.com/1FaUxzBxMp",min aktifasi instruksi suruh data mohon,min aktifasi instruksi suruh data mohon
91,Terpotong tadi pagi pukul 3:23 tanggal 25 Januari 2015. Pulsa awal 7000 rupiah terpotong jadi 0 rupiah. Kemudian saya cek kuota Yellow masih ada 150MB dan masih saya bisa gunakan sampai dengan pukul 12 siang. Bukan masalah nominalnya ya kak. Cuma kenapa bisa terpotong.pic.twitter.com/xHfNjguWwY,pagi tanggal januari pulsa rupiah rupiah cek kuota mb siang kak,pagi tanggal januari pulsa rupiah rupiah cek kuota mb siang kak
92,"@IndosatCare katanya gratis akses youtube , tp dari awal pasang sampai abis skrg saya ngeyoutube tidak pernah akses gratis sama sekali. Trs abdi harus kumaha yeuh? pic.twitter.com/VslPb7ctiz",akses youtube pasang ngeyoutube akses kali abdi kumaha,akses youtube pasang ngeyoutube akses kali abdi kumaha
93,Min saya mau aktifasi paket bundling smartphone yang 50 kok gagal terus ya ? Padahal pulsa juga tidak kurang malah tampil seperti inipic.twitter.com/uYgJqasR2w,min aktifasi gagal ya pulsa,min aktifasi gagal ya pulsa
94,"@IndosatCare min, saya lagi youtube-an tbtb dapet notif pulsa udah kepake Rp.17255 karena tarif internet Rp.1/KB (1) padahal kuota saya masih ada 100 MB (2) pas saya cek pulsa, benar pulsa saya termakan (3). Maksudnya apa ini?pic.twitter.com/3O0YfSHkrx",min tarif internet kb kuota mb cek pulsa pulsa,min tarif internet kb kuota mb cek pulsa pulsa
95,"@IndosatCare Paket Yellow ga ada ya?

Saya mau berhenti langganan imternet gimana? Soalnya keluar gini teruspic.twitter.com/x902QgD4B2",ya henti langgan imternet,ya henti langgan imternet
96,"Admin yg terhormat, mohon cek mention atau dm saya",hormat,hormat
97,"@IndosatCare kenapa aplikasi gak bisa refresh min, itu pulsa udah dari jaman kapan.. udah isi ulang lagi, kuota juga udah isi ulang..pic.twitter.com/xpOSw7rFNt",aplikasi refresh min pulsa jaman isi kuota isi,aplikasi refresh min pulsa jaman isi kuota isi
98,"Saya tidak masalah kok mereka memotong pulsa karena saya tidak pernah mengisi pulsa, cuma mengisi paket data saja. Tapi kok bisa tanpa registrasi apapun, layanan SMS seperti itu bisa hadir di nomor pelanggan Indosat? Apa kejadian serupa bisa dihindari ke depannya?",pulsa isi pulsa isi paket data registrasi layan sms nomor langgan rupa,pulsa isi pulsa isi paket data registrasi layan sms nomor langgan rupa
99,"@IndosatCare kenapa pagi ini saya bisa mendapatkan SMS seperti ini? Pesan seperti ini bisa datang dengan sendirinya ke nomor konsumen Indosat, apa tidak ada cara untuk meniadakan? Karena cukup mengganggu. Terimakasih.pic.twitter.com/EO2FL8YxYx",pagi sms pesan kah nomor konsumen,pagi sms pesan kah nomor konsumen
100,Kuota malam di paket freedom combo itu pakai jaringan 3G / 4G?,kuota malam paket freedom combo,kuota malam paket freedom combo
101,"Sudah dan pembaharuan dari indosat sudah juda tapi kenapa masih mentok di 30kbps ? padahal si kuota masih banyak, semua kerjaan jadi tertunda terus kalo seperti ini teruspic.twitter.com/DoFNUNNbOu",pembaharuan juda si kuota kerjaan,pembaharuan juda si kuota kerjaan
102,"@IndosatCare jaringan di Cicurug Sukabumi buruk sekali,
Kecepatan 4G rata-rata hanya 1,25kb/s..
Saya mencoba pakai hari ini dari pukul 06.30-23.17 tidak ada perubahan,
Adakah solusi? Atau membuat konsumen anda akan beralih ke produk lain...
Terimakasih",sukabumi kali kb ubah adakah solusi konsumen kah produk,sukabumi kali kb ubah adakah solusi konsumen kah produk
